0,2.T0.3-142-G-016-1.2.H
0,201.T0.3-142-G-016-1.4.R
0,6.T0.3-142-G-016-1.2.H
0,204.T0.3-142-G-016-1.4.R
0,13.T0.3-142-G-016-1.2.H
0,214.T0.3-142-G-016-1.4.R
0,23.T0.3-142-G-016-1.2.H
0,223.T0.3-142-G-016-1.4.R
0,32.T0.3-142-G-016-1.2.H
0,232.T0.3-142-G-016-1.4.R
0,41.T0.3-142-G-016-1.2.H
0,242.T0.3-142-G-016-1.4.R
0,51.T0.3-142-G-016-1.2.H
0,252.T0.3-142-G-016-1.4.R
0,61.T0.3-142-G-016-1.2.H
0,260.T0.3-142-G-016-1.4.R
0,69.T0.3-142-G-016-1.2.H
0,271.T0.3-142-G-016-1.4.R
0,80.T0.3-142-G-016-1.2.H
0,280.T0.3-142-G-016-1.4.R
0,89.T0.3-142-G-016-1.2.H
0,289.T0.3-142-G-016-1.4.R
0,98.T0.3-142-G-016-1.2.H
0,299.T0.3-142-G-016-1.4.R
0,108.T0.3-142-G-016-1.2.H
0,309.T0.3-142-G-016-1.4.R
0,118.T0.3-142-G-016-1.2.H
0,317.T0.3-142-G-016-1.4.R
0,126.T0.3-142-G-016-1.2.H
0,326.T0.3-142-G-016-1.4.R
0,135.T0.3-142-G-016-1.2.H
0,336.T0.3-142-G-016-1.4.R
0,145.T0.3-142-G-016-1.2.H
0,347.T0.3-142-G-016-1.4.R
0,156.T0.3-142-G-016-1.2.H
0,356.T0.3-142-G-016-1.4.R
0,165.T0.3-142-G-016-1.2.H
0,365.T0.3-142-G-016-1.4.R
0,174.T0.3-142-G-016-1.2.H
0,374.T0.3-142-G-016-1.4.R
0,184.T0.3-142-G-016-1.2.H
0,384.T0.3-142-G-016-1.4.R
0,193.T0.3-142-G-016-1.2.H
0,394.T0.3-142-G-016-1.4.R
0,0_fromDepot
0,0_toDepot
1,3.T0.3-142-G-016-1.2.H
1,203.T0.3-142-G-016-1.4.R
1,10.T0.3-142-G-016-1.2.H
1,209.T0.3-142-G-016-1.4.R
1,18.T0.3-142-G-016-1.2.H
1,218.T0.3-142-G-016-1.4.R
1,27.T0.3-142-G-016-1.2.H
1,228.T0.3-142-G-016-1.4.R
1,37.T0.3-142-G-016-1.2.H
1,239.T0.3-142-G-016-1.4.R
1,48.T0.3-142-G-016-1.2.H
1,248.T0.3-142-G-016-1.4.R
1,57.T0.3-142-G-016-1.2.H
1,257.T0.3-142-G-016-1.4.R
1,66.T0.3-142-G-016-1.2.H
1,267.T0.3-142-G-016-1.4.R
1,76.T0.3-142-G-016-1.2.H
1,276.T0.3-142-G-016-1.4.R
